No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
578,SHIP CONSTRUCTION,Galway County,"Barkhill, Woodford",2,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
579,SHIP CONSTRUCTION,Galway County,"St. Joseph's, Ballinasloe",6,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
580,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,,,,,,Q1-2022
581,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mhíl, South Connemara",8,Tearmann Eanna Teoranta,"Stage 1 approved Q4-2016, outline design and costs being prepared.",,,,,
582,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teoranta,,"Stage 2 approved Q4-2018, full design/tender being prepared.",,,,
583,CAS CONSTRUCTION,Galway County,Mountbellew,5,Túath Housing Association Ltd,,"Stage 2 approved Q4-2019, full design/tender being prepared.",,,,
584,CAS CONSTRUCTION,Galway County,"Springfield, Parkmore, Ballinasloe",4,Peter Triest Housing Association Ltd,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
585,CAS CONSTRUCTION,Galway County,"Shannon Road, Portumna",4,Carraig Dubh Housing Association,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
586,SHIP CONSTRUCTION TURNKEY,Galway County,"Gort an Choirce, Tubber Road, Gort",5,*N/A,,,,,,Q2-2022
587,CALF Turnkey,Galway County,"Cuirt Dun Leo, Dunlo, Ballinasloe, Co Galway (Phase 1)",24,Clúid Housing,,,,,Q1-2022,
588,CALF Turnkey,Galway County,"Cuirt Dun Leo, Dunlo, Ballinasloe, Co Galway (Phase 2)",14,Clúid Housing,,,,,Q1-2022,
589,CALF Turnkey,Galway County,"Gort na Fuinse, Headford, Co. Galway (Phase 1)*",11,Clúid Housing,,,,,Q2-2021,
590,CALF Turnkey,Galway County,"Gort na Fuinse, Headford, Co. Galway (Phase 2)",14,Clúid Housing,,,,,Q2-2021,
591,CALF Turnkey,Galway County,"Oranhill, Oranmore, Co. Galway (Phase 1)*",22,Clúid Housing,,,,Q1-2021,,
592,CALF Turnkey,Galway County,"Riveroaks, Claregalway, Co Galway  (Phase 2)",12,Clúid Housing,,,,,,Q1-2021
593,CALF Turnkey,Galway County,"Riveroaks, Claregalway, Co Galway  (Phase 3)*",16,Clúid Housing,,,,,,Q2-2021
594,CALF Turnkey,Galway County,"Weir road, Tuam, Co. Galway (Phase 1)*",5,Sophia Housing Association Ltd,,,,,Q3-2021,
595,SHIP CONSTRUCTION,Kerry,"Rock Rd., Killarney",10,*N/A,,,,,,Q2-2022
596,SHIP CONSTRUCTION SINGLE STAGE,Kerry,"Glannagilliagh, Caragh Lake, Killorglin (SRD)",1,*N/A,,,,,,Q2-2022
597,SHIP CONSTRUCTION TURNKEY,Kerry,"Cnoc an Cairn, Chapel Lane, Dingle",2,*N/A,,,,,,Q1-2022
598,SHIP CONSTRUCTION TURNKEY,Kerry,"The Green, Ballinageragh, Lixnaw, Co Kerry",13,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
599,SHIP CONSTRUCTION SINGLE STAGE,Kerry,"Carrigcannon, Lyreacrumpane (SRD)",1,*N/A,,,,,Q2-2021,
600,SHIP CONSTRUCTION SINGLE STAGE,Kerry,"Rahinnane, Ventry (SRD)",1,*N/A,,,,,Q2-2021,
601,SHIP CONSTRUCTION DESIGN BUILD,Kerry,Rathmore/Barraduff,20,*N/A,,,,,,Q2-2021
602,SHIP CONSTRUCTION,Kerry,"Glenach, Ballybunion",20,*N/A,,,,,,Q1-2021
603,SHIP CONSTRUCTION,Kerry,"Lohercannon, Tralee",61,*N/A,,,,,Q3-2020,
604,SHIP CONSTRUCTION,Kerry,"Cullenagh Upper, Beaufort",1,*N/A,,,,,,Q1-2021
605,SHIP CONSTRUCTION,Kerry,"Farranwilliam, Ardfert",22,*N/A,,,,,,Q3-2021
606,SHIP CONSTRUCTION,Kerry,"Ballyrickard, Tralee",21,*N/A,,,,,Q3-2020,
607,SHIP CONSTRUCTION,Kerry,"Croogorts, Tralee (Cruaghoirt)",30,*N/A,,,,,Q3-2020,
608,SHIP CONSTRUCTION,Kerry,"Gortamullin, Kenmare (Phase 4)",14,*N/A,,,,,,Q1-2021
609,SHIP CONSTRUCTION,Kerry,"Baile an Gharraí, Lixnaw (Phase 2)",10,*N/A,,,,,,Q2-2021
610,SHIP CONSTRUCTION,Kerry,"Woodview Place, Tarbert",22,*N/A,,,,,Q2-2021,
611,SHIP CONSTRUCTION,Kerry,"Marconi South, Ballybunion (Glór na Toinne)",14,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
612,SHIP CONSTRUCTION,Kerry,"Rahoonane, Tralee (New Site)",8,*N/A,,,,,Q2-2021,
613,SHIP CONSTRUCTION,Kerry,"Rusheen, Ballylongford (Carraig an Phoill)",7,*N/A,,,,,Q4-2021,
614,SHIP CONSTRUCTION,Kerry,"Gortamullin, Kenmare (Phase 5) (Ard Bhearna)",14,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
615,SHIP CONSTRUCTION,Kerry,"Matt Talbot Road, Tralee",27,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
616,SHIP CONSTRUCTION,Kerry,"Locke's Shop, Mitchel's Rd, Tralee",8,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
617,SHIP CONSTRUCTION,Kerry,"Marian Terrace, Ballyheigue",9,*N/A,,"Stage 2 approved Q3-2022, full design/tender being prepared.",,,,
618,SHIP CONSTRUCTION,Kerry,"Bridge Rd, Abbeydorney",1,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
619,SHIP CONSTRUCTION,Kerry,"Hawley Park Apartments, Tralee",16,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
620,SHIP CONSTRUCTION,Kerry,"Garryruth, Tralee, Co Kerry",19,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
621,SHIP CONSTRUCTION,Kerry,"SRD at Emlaghmore, Caherciveen, Co Kerry",1,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
622,SHIP CONSTRUCTION,Kerry,"SRD at Garfinny, Dingle, Co Kerry",1,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
623,SHIP CONSTRUCTION,Kerry,"SRD at Gortadrislig, Lixnaw, Co Kerry",1,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
624,SHIP CONSTRUCTION,Kerry,"SRD at Kells, Caherciveen, Co Kerry",1,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
625,SHIP CONSTRUCTION,Kerry,"Ballybeg, Dingle, Co Kerry",37,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
626,CAS CONSTRUCTION TURNKEY,Kerry,"Firies Hall, Firies",14,Peter McVerry Trust Ltd,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
627,CAS CONSTRUCTION TURNKEY,Kerry,"Firies Hall, Firies",4,Peter McVerry Trust Ltd,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
628,CAS CONSTRUCTION RENEWAL,Kerry,"Ardmoneel, Killorglin, Co. Kerry",4,St. John of God Housing Association Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
629,CAS CONSTRUCTION,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,,,,,Q1-2021
630,CAS CONSTRUCTION,Kerry,"Chamfers Place (Mitchels road, Tralee)",18,Cluid Housing Association,,,,,Q2-2021,
631,CALF Turnkey,Kerry,"Apts 52-66 Fels Point, Dan Spring Road, Tralee, Co Kerry (Phase 1)",15,Focus Housing Association CLG,,,,Q2-2022,,
632,CALF Turnkey,Kerry,"Ard Na Greine, Knockavota, Milltown, Co. Kerry (Phase 1)",28,Clúid Housing,,,,,Q4-2020,
633,CALF Turnkey,Kerry,"Ard Na Greine, Knockavota, Milltown, Co. Kerry (Phase 2)*",26,Clúid Housing,,,,,Q4-2020,
634,CALF Turnkey,Kerry,"Barraduff, Killarney, Co Kerry (Phase 1)*",3,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
635,CALF Turnkey,Kerry,"Barraduff, Killarney, Co. Kerry (Phase 4)*",13,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2021
636,CALF Turnkey,Kerry,"Cahirdown Wood, Listowel, Co. Kerry (Phase 1)*",12,Clúid Housing,,,,,Q3-2020,
637,CALF Turnkey,Kerry,"Cahirdown Wood, Listowel, Co. Kerry (Phase 2)",26,Clúid Housing,,,,,Q3-2020,
638,CALF Turnkey,Kerry,"Cashen Court, Dun Alainn, Listowel, Co Kerry (Phase 1)",39,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
639,CALF Turnkey,Kerry,"Dun Alainn, Listowel, Co. Kerry (Phase 1)*",10,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
640,CALF Turnkey,Kerry," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 4)",1,Respond,,,,,,Q2-2021
641,CALF Turnkey,Kerry,"Hunters Lodge, Hunters Wood, Ballyseedy, Tralee, Co. Kerry (Phase 1)",10,Clúid Housing,,,,,Q3-2021,
642,CALF Turnkey,Kerry,"Lawlors Hill, (formerly Commons East)  Ardfert, Co. Kerry (Phase 1)*",12,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2021
643,CALF Turnkey,Kerry,"Lawlors Hill, (formerly Commons East)  Ardfert, Co. Kerry (Phase 2)",8,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
644,CALF Turnkey,Kerry,"Lawlors Hill, (formerly Commons East)  Ardfert, Co. Kerry (Phase 3)",10,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
645,CALF Turnkey,Kerry,"Lios Ard, Lisloose, Tralee, Co. Kerry (Phase 1)",28,Clúid Housing,,,,,,Q3-2021
646,CALF Turnkey,Kerry,"Moanmore, Pound Road, Castleisland, Co. Kerry (Phase 1)*",14,Clúid Housing,,,,,,Q4-2021
647,CALF Turnkey,Kerry,"Orglan Heights, Ardmoneel, Killorglin (Phase 1)*",30,Clúid Housing,,,,Q3-2021,,
648,SHIP CONSTRUCTION TURNKEY,Kildare,"The Willows, Allenwood",1,*N/A,,,,,,Q2-2021
649,SHIP CONSTRUCTION TURNKEY,Kildare,"Fitzgerald Close, Greenfield, Maynooth",1,*N/A,,,,,,Q2-2021
650,SHIP CONSTRUCTION TURNKEY,Kildare,"Coolaghknock Green, Kildare Town",2,*N/A,,,,,,Q1-2021
651,SHIP CONSTRUCTION TURNKEY,Kildare,"Abbotsfield, Clane",1,*N/A,,,,,,Q2-2021
652,SHIP CONSTRUCTION TURNKEY,Kildare,"Old Mill Race, Monasterevin",9,*N/A,,,,,Q4-2019,
653,SHIP CONSTRUCTION TURNKEY,Kildare,"Hemmingway Park, Clane",13,*N/A,,,,,,Q3-2021
654,SHIP CONSTRUCTION TURNKEY,Kildare,"Hemmingway Park, Clane",10,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
655,SHIP CONSTRUCTION TURNKEY,Kildare,"Coolaghknock Green, Kildare Town",2,*N/A,,,,,,Q2-2021
656,SHIP CONSTRUCTION TURNKEY,Kildare,"Newtown, Ardclough Rd, Celbridge",49,*N/A,,,,,Q2-2021,
657,SHIP CONSTRUCTION TURNKEY,Kildare,"Kildare Road, Rathangan",9,*N/A,,,,,Q1-2021,
658,SHIP CONSTRUCTION TURNKEY,Kildare,"Abbotsfield, Clane",2,*N/A,,,,,,Q3-2021
659,SHIP CONSTRUCTION TURNKEY,Kildare,"The Willows, Allenwood",1,*N/A,,,,,,Q4-2021
660,SHIP CONSTRUCTION TURNKEY,Kildare,"Fitzgerald Close, Greenfield, Maynooth",1,*N/A,,,,,,Q4-2021
661,SHIP CONSTRUCTION TURNKEY,Kildare,"Williams Grove, Ardclough",2,*N/A,,,,,,Q4-2021
662,SHIP CONSTRUCTION TURNKEY,Kildare,"Millstream Court, Kilcullen",1,*N/A,,,,,,Q4-2021
663,SHIP CONSTRUCTION SINGLE STAGE,Kildare,"Patrician Avenue, Naas",2,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
664,SHIP CONSTRUCTION RENEWAL,Kildare,"25 St. Corbans Place, Naas ",1,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
665,SHIP CONSTRUCTION DESIGN BUILD,Kildare,"Old Greenfield Road, Maynooth",65,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
666,SHIP CONSTRUCTION,Kildare,Athgarvan Village,18,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
667,SHIP CONSTRUCTION,Kildare,"Newtown House, Leixlip",4,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,
668,SHIP CONSTRUCTION,Kildare,Coill Dubh,10,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
669,SHIP CONSTRUCTION,Kildare,"Ardclough Road, Celbridge",39,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
670,SHIP CONSTRUCTION,Kildare,"Ambassador Site, Kill",33,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
671,SHIP CONSTRUCTION,Kildare,Carbury,5,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
672,SHIP CONSTRUCTION,Kildare,St. Evins Park Monasterevin,16,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
673,SHIP CONSTRUCTION,Kildare,"Castle Park, Athy",5,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
674,SHIP CONSTRUCTION,Kildare,"Old Caragh Road, Nass",58,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
675,CAS CONSTRUCTION,Kildare,"Craddockstown, Naas",3,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
676,CAS CONSTRUCTION,Kildare,"El Kantara, Newbridge",2,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
677,CAS CONSTRUCTION,Kildare,"Jigginstown House, Naas",12,Homeless Care Ltd,,,,,,Q2-2021
678,CAS CONSTRUCTION,Kildare,"St. John's Convent, New Street, Rathangan",27,Sophia Housing Association Ltd,"Stage 1 approved Q4-2019, outline design and costs being prepared.",,,,,
679,CAS CONSTRUCTION,Kildare,"Dominican Lands, Athy",34,Cluid Housing Association,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
680,CALF Turnkey,Kildare,"1 unit, Loughlion Green, Kildare Town (Phase 1)",1,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2021
681,CALF Turnkey,Kildare,"15 units, Ledwill Park, Kilcock, Co. Kildare (Phase 1)",15,Clúid Housing,,,,,,Q4-2021
682,CALF Turnkey,Kildare,"2 units, Ledwill Park, Kilcock, Co. Kildare (Phase 1)",2,Clúid Housing,,,,,,Q4-2021
683,CALF Turnkey,Kildare,"Belin Woods, Newbridge, Co. Kildare (Phase 1)*",15,Tuath Housing Association,,,,,Q3-2021,
684,CALF Turnkey,Kildare,"Belin Woods, Newbridge, Co. Kildare (Phase 2)*",15,Tuath Housing Association,,,,,Q3-2021,
685,CALF Turnkey,Kildare,"Belin Woods, Newbridge, Co. Kildare (Phase 3)*",4,Tuath Housing Association,,,,,Q3-2021,
686,CALF Construction,Kildare,"Castlefen, Castlesize, Sallins, Co. Kildare (Phase 1)",29,Tuath Housing Association,,,,,Q1-2020,
687,CALF Turnkey,Kildare,"Elsmore, Jigginstown and Oakpark, Craddockstown, Naas, Kildare (Phase 2)*",17,Tuath Housing Association,,,,,,Q4-2021
688,CALF Construction,Kildare,"Flinters Field (Phase 2), Athy, Co. Kildare (Phase 1)",23,Respond,,,,,Q1-2021,
689,CALF Construction,Kildare,"Flinters Field (Phase 2), Athy, Co. Kildare (Phase 2)",35,Respond,,,,,Q1-2021,
690,CALF Turnkey,Kildare,"Grand Canal Wood, Allenwood, Co. Kildare (Phase 1)*",21,Clúid Housing,,,,,,Q1-2021
691,CALF Turnkey,Kildare,"Grand Canal Wood, Allenwood, Co. Kildare (Phase 2)",19,Clúid Housing,,,,,,Q2-2021
692,CALF Turnkey,Kildare,"Kilbelin Abbey, Kildare, Phase 1 (Phase 1)*",4,Clúid Housing,,,,,,Q1-2021
693,CALF Turnkey,Kildare,"Kilbelin Abbey, Kildare, Phase 2 (Phase 1)*",4,Clúid Housing,,,,,Q2-2019,
694,CALF Turnkey,Kildare,"Ledwill Park, Kilcock, Co. Kildare (Phase 1)*",27,Clúid Housing,,,,,,Q3-2021
695,CALF Turnkey,Kildare,"Ledwill Park, Kilcock, Co. Kildare (Phase 1)*",3,Clúid Housing,,,,,,Q4-2021
696,CALF Turnkey,Kildare,"Leinster Square, Dublin Street, Kildare Town, Co Kildare (Phase 1)*",4,Clanmil Housing Association Ireland,,,,,,Q3-2021
697,CALF Turnkey,Kildare,"Loughlion, Kildare Town, Kildare (Phase 3)*",16,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2021
698,CALF Turnkey,Kildare,"Loughlion, Kildare Town, Kildare (Phase 4)",16,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
699,CALF Turnkey,Kildare,"Loughlion, Kildare Town, Kildare (Phase 5)*",16,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2021
700,CALF Turnkey,Kildare,"Main Street, Prosperous, Clane, Co. Kildare (Phase 1)*",16,Clanmil Housing Association Ireland,,,,,Q4-2020,
701,CALF Turnkey,Kildare,"Mariavilla, Maynooth, Co. Kildare (Phase 1)*",11,Tuath Housing Association,,,,,,Q4-2021
702,CALF Turnkey,Kildare,"Melitta Road, Co. Kildare (Phase 1)",4,Clanmil Housing Association Ireland,,,,Q2-2022,,
703,CALF Turnkey,Kildare,"Mullen Park and Carton Grove, Maynooth, Co. Kildare (Phase 1)*",9,Tuath Housing Association,,,,,Q4-2019,
704,CALF Turnkey,Kildare,"Mullen Park and Carton Grove, Maynooth, Co. Kildare (Phase 2)*",18,Tuath Housing Association,,,,,Q4-2019,
705,CALF Turnkey,Kildare,"Newtown, Kill, Co. Kildare (Phase 1)*",13,Tuath Housing Association,,,,,Q4-2020,
706,CALF Turnkey,Kildare,"Newtown, Kill, Co. Kildare (Phase 2)*",2,Tuath Housing Association,,,,,Q4-2020,
707,CALF Turnkey,Kildare,"Old Dublin Road, Celbridge, Co. Kildare (Phase 1)",6,Co - Operative Housing Ireland Society Limited,,,,,Q4-2020,
708,CALF Turnkey,Kildare,"Riverside Green, Riverside Manor,Kilcullen, Co. Kildare (Phase 1)*",64,Clúid Housing,,,,,Q2-2021,
709,CALF Turnkey,Kildare,"The Paddocks, Morristown, Newbridge, Kildare (Phase 3)*",16,Clúid Housing,,,,,,Q2-2021
710,CALF Turnkey,Kildare,"The Paddocks, Newbridge, Kildare  (Phase 1)",26,Clúid Housing,,,,,,Q3-2021
711,CALF Turnkey,Kildare,"The Paddocks, Newbridge, Kildare  (Phase 2)",33,Clúid Housing,,,,,,Q4-2021
712,CALF Turnkey,Kildare,"The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)*",18,Respond,,,,,,Q2-2021
713,CALF Turnkey,Kildare,"The Vestry, Glebelands, Athy, Co. Kildare (Phase 3) (Phase 1)",20,Respond,,,,,Q4-2019,
714,CALF Turnkey,Kildare,"Westfield, Leixlip, Co. Kildare (Phase 1)*",20,Respond,,,,,,Q4-2021
715,CALF Turnkey,Kildare,"Whitethorn, Naas, Co. Kildare (Phase 1)*",12,Tuath Housing Association,,,,,,Q4-2021
716,CALF Turnkey,Kildare,"Whitethorn, Naas, Co. Kildare (Phase 2)*",4,Tuath Housing Association,,,,,,Q4-2021
717,CALF Turnkey,Kildare,"Whitethorn, Naas, Co. Kildare (Phase 3)*",4,Tuath Housing Association,,,,,Q2-2020,
718,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Kildare,"Butterstream, Clane",77,*N/A,,,,,,Q4-2021
719,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Kildare,"Ardrew, Athy, Co. Kildare",73,*N/A,,Q4-2021,,,,
720,SHIP CONSTRUCTION SINGLE STAGE,Kilkenny,"Shanganny, Jenkinstown",2,*N/A,,,,,,Q2-2022
721,SHIP CONSTRUCTION TURNKEY,Kilkenny,"New Road, Mooncoin",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
722,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Chapel Street, Mooncoin",2,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
723,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Pennefeather Court, Hebron Road, Kilkenny",8,*N/A,,,,,,Q1-2022
724,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Pennefeather Green, Hebron Road, Kilkenny",26,*N/A,,,,,,Q1-2022
725,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Blackwater Grove, Kilmacow",14,*N/A,,,,,,Q2-2021
726,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Limegrove, Ferrybank",5,*N/A,,,,,,Q4-2021
727,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Piltown, Kilkenny",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
728,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Limegrove, Ferrybank",10,*N/A,,,,,,Q1-2022
729,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Marnellsmeadows, Callan Road, Kilkenny",20,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
730,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank, Co. Kilkenny",21,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
731,SHIP CONSTRUCTION SINGLE STAGE,Kilkenny,"Inchacarron, Mullinavat",2,*N/A,,,,,Q1-2022,
732,SHIP CONSTRUCTION SINGLE STAGE,Kilkenny,"Ayrfield, Granges Road, Kilkenny",6,*N/A,,,,,,Q2-2021
733,SHIP CONSTRUCTION SINGLE STAGE,Kilkenny,"Old Fire Station, Graiguenamanagh",2,*N/A,,,,,Q1-2022,
734,SHIP CONSTRUCTION SINGLE STAGE,Kilkenny,"Ayrfield, Granges Road, Kilkenny",2,*N/A,,,,,,Q1-2022
735,SHIP CONSTRUCTION SINGLE STAGE,Kilkenny,"Haggardsgreen, Callan",1,*N/A,,,,,Q2-2022,
736,SHIP CONSTRUCTION RENEWAL,Kilkenny,"18 Wolfe Tone Street, Kilkenny",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
737,SHIP CONSTRUCTION,Kilkenny,"10 Golf Links Road, Kilkenny",6,*N/A,,,,,Q1-2022,
738,SHIP CONSTRUCTION,Kilkenny,"Station Road, Ballyragget",22,*N/A,,,,,,Q2-2021
739,SHIP CONSTRUCTION,Kilkenny,"Donaguile, Castlecomer",33,*N/A,,,,,,Q2-2021
740,SHIP CONSTRUCTION,Kilkenny,"The Broguemaker, Kilkenny",18,*N/A,,,,,,Q2-2021
741,SHIP CONSTRUCTION,Kilkenny,"Ladywell, Thomastown, Co. Kilkenny",25,*N/A,,,,,Q4-2021,
742,SHIP CONSTRUCTION,Kilkenny,"Crokers Hill, Kennyswell Road, Kilkenny",88,*N/A,,,"Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.",,,
743,SHIP CONSTRUCTION,Kilkenny,"Canal Road, Johnstown, Co. Kilkenny Project 1",5,*N/A,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
744,SHIP CONSTRUCTION,Kilkenny,Canal Road Johnstown Project 2,2,*N/A,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
745,SHIP CONSTRUCTION,Kilkenny,Canal Road Johnstown Project 3,4,*N/A,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
746,SHIP CONSTRUCTION,Kilkenny,"Ladywell, Newtown, Thomastown",33,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
747,SHIP CONSTRUCTION,Kilkenny,"Weather Station, Granges Road, Kilkenny",6,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
748,CAS CONSTRUCTION TURNKEY,Kilkenny,"Tinnypark, Callan Road, Kilkenny",6,SOS Kilkenny Housing Association Ltd,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
749,CAS CONSTRUCTION TURNKEY,Kilkenny,"70-71 Upper Patrick Street, Kilkenny",4,Clanmill Housing Association Ireland,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
750,CAS CONSTRUCTION SINGLE STAGE,Kilkenny,"Miltown Lodge Phase 2, Johnswell Road, Kilkenny",1,SOS Kilkenny Housing Association Ltd,,,,,,Q2-2022
751,CAS CONSTRUCTION RENEWAL,Kilkenny,"The Round House, Kells, Co. Kilkenny",4,SOS Kilkenny Housing Association Ltd,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
752,CAS CONSTRUCTION,Kilkenny,"Kingsriver, Ennisnag",2,Kingsriver Housing Association Limited,,,,,,Q2-2022
753,CAS CONSTRUCTION,Kilkenny,"8/9 Kilkenny Street, Castlecomer",3,Good Shepherd Services Ltd,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
754,CAS CONSTRUCTION,Kilkenny,"19/21 Blackmill Street, Kilkenny",12,Good Shepherd Services Ltd,,,,,Q4-2021,
755,CAS CONSTRUCTION,Kilkenny,"Brother Thomas Place, Church Lane, Kilkenny",12,Good Shepherd Services Ltd,,,,,Q2-2021,
756,CAS CONSTRUCTION,Kilkenny,"Grennan Villa, Thomastown",5,Camphill Communities of Ireland,,,,,Q3-2020,
757,CAS CONSTRUCTION,Kilkenny,"Prague House Hall, Freshford, Co. Kilkenny",4,Kilkenny Voluntary Housing Association,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
758,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Pennefeather Green, Hebron Road, Kilkenny",26,*N/A,,,,,,Q2-2022
759,CALF Turnkey,Kilkenny,"Cois Na Bearu, Graiguenemanagh, Kilkenny (Phase 1)",14,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2021
